percentage20_Donald_Trump,percentage20_Joe_Biden,cases,TotalPop,case_rate
0.661,0.33,805,24788,0.032475391
0.795,0.191,3182,62607,0.050824988
0.542,0.447,1227,32840,0.037362972
0.504,0.465,17451,435117,0.040106454
0.697,0.286,222,7192,0.030867631
0.83,0.159,517,19304,0.026782014
0.618,0.358,578,25437,0.022722805
0.786,0.195,855,22136,0.038624864
0.404,0.567,15538,487850,0.031849954
0.708,0.273,87,3785,0.022985469
0.751,0.229,65,3946,0.016472377
0.722,0.256,2223,66787,0.033284921
0.75,0.227,704,35018,0.020103947
0.426,0.564,1122,31583,0.035525441
0.773,0.203,91,2368,0.038429054
0.691,0.289,922,31564,0.029210493
0.811,0.179,270,27926,0.009668409
0.663,0.322,1184,101589,0.011654805
0.675,0.306,935,19261,0.048543689
0.623,0.366,587,20111,0.029188007
0.436,0.511,124,36825,0.003367278
0.606,0.379,5140,165707,0.031018605
0.625,0.36,232,15841,0.01464554
0.356,0.627,10706,259865,0.041198315
0.537,0.451,5409,157844,0.034268011
0.176,0.804,23994,1629615,0.014723723
0.489,0.482,360,16345,0.022025084
0.375,0.602,3750,308580,0.01215244
0.461,0.488,1562,37944,0.041165929
0.324,0.661,1612,105105,0.015337044
0.686,0.303,55,10413,0.005281859
0.811,0.175,1130,37242,0.030342087
0.543,0.448,154,6776,0.022727273
0.786,0.204,975,37159,0.026238596
0.178,0.81,2808.759225,154710,0.018154995
0.874,0.103,132,5877,0.022460439
0.587,0.4,121,9254,0.013075427
0.635,0.345,431,13940,0.030918221
0.616,0.364,1503,114145,0.013167462
0.694,0.291,775,72591,0.010676255
0.734,0.242,348,47400,0.007341772
0.745,0.245,316,10935,0.028898034
0.715,0.274,154,15489,0.00994254
0.39,0.595,15940,1229605,0.012963513
0.544,0.431,9638,367747,0.026208236
0.711,0.267,112,12752,0.008782936
0.81,0.175,566,20628,0.027438433
0.691,0.294,2580,104157,0.024770299
0.772,0.215,1856,25667,0.072310749
0.232,0.756,424,9402,0.045096788
0.63,0.354,180,28730,0.006265228
0.323,0.643,8,1203,0.006650042
0.609,0.366,347,37306,0.009301453
0.684,0.306,150,12802,0.011716919
0.622,0.32,626,31819,0.01967378
0.633,0.354,436,12574,0.034674726
0.773,0.206,203,7840,0.025892857
0.728,0.252,280,22017,0.012717446
0.703,0.283,6051,194174,0.031162772
0.652,0.33,1869,75538,0.024742514
0.786,0.205,2979,57747,0.051587095
0.742,0.241,474,17358,0.027307293
0.843,0.145,667,17577,0.037947318
0.585701782,0.39453118,876,107317,0.008162733
0.724,0.264,2317,87700,0.026419612
0.42,0.559,12256,564600,0.021707403
0.498,0.479,9947,344861,0.028843505
0.476,0.518,737,25531,0.028866868
0.863,0.126,182,6406,0.028410865
0.564,0.42,143,23133,0.006181645
0.327,0.661,4003,71602,0.05590626
0.694,0.291,287,12547,0.022873994
0.782,0.213,1179,18471,0.063829787
0.725,0.262,308,15462,0.019919803
0.752,0.237,351,24832,0.014134987
0.364,0.61,13956,626612,0.022272156
0.897,0.093,165,8793,0.018764927
0.568,0.409,68,12592,0.005400254
0.671,0.314,111,15238,0.007284421
0.684,0.289,726,18352,0.039559721
0.172,0.813,4764,229534,0.020755095
0.756,0.233,786,66737,0.011777575
0.931,0.067,27,1929,0.01399689
0.585701782,0.39453118,67,68840,0.000973271
0.915,0.074,5,421,0.011876485
0.653,0.327,4299,119129,0.036086931
0.724,0.264,481,26833,0.017925689
0.734,0.249,511,53299,0.009587422
0.439,0.548,301,15779,0.019075987
0.7,0.268,573,20771,0.027586539
0.606,0.375,890,98622,0.009024356
0.615,0.359,294,22259,0.013208141
0.647,0.341,813,22881,0.035531664
0.665,0.324,1287,48139,0.02673508
0.66,0.316,537,16466,0.032612656
0.781,0.2,86,5335,0.016119963
0.418,0.565,1388,65563,0.021170477
0.729,0.261,486,8313,0.058462649
0.462,0.523,5341,272926,0.019569407
0.846,0.142,467,13899,0.03359954
0.586,0.401,819,18731,0.043724307
0.725,0.254,654,25763,0.025385242
0.672,0.314,192,5711,0.033619331
0.805,0.18,1279,45778,0.027939185
0.728,0.257,718,74390,0.009651835
0.749,0.226,205,2739,0.074844834
0.785,0.204,521,29292,0.017786426
0.715,0.27,2173,55036,0.039483247
0.759,0.232,647,17535,0.036897633
0.696,0.288,1757,41095,0.042754593
0.839,0.143,37,3581,0.010332309
0.861,0.134,640,11279,0.056742619
0.771,0.22,311,7098,0.043815159
0.846,0.145,1805,27537,0.065548172
0.577,0.419,92,3251,0.028298985
0.741,0.236,144,15980,0.009011264
0.762,0.223,6966,203360,0.034254524
0.488,0.501,2337,45527,0.051332177
0.794,0.195,81,8152,0.009936212
0.376,0.607,21194,828637,0.025576941
0.108,0.877,2808.759225,619796,0.004531748
0.373,0.619,699,14842,0.047096079
0.791,0.197,190,21316,0.008913492
0.886,0.106,574,18363,0.031258509
0.883,0.105,4,728,0.005494505
0.59,0.371,2732,84113,0.032480116
0.622,0.366,125,8580,0.014568765
0.861,0.123,57,4905,0.011620795
0.536,0.456,1061,26201,0.040494638
0.766,0.218,187,16790,0.011137582
0.641,0.327,410,10971,0.037371251
0.4,0.58,2051,213900,0.009588593
0.532,0.457,887,21788,0.040710483
0.729,0.255,1358,43418,0.03127735
0.623,0.363,1320,45358,0.029101812
0.705,0.275,2672,75099,0.035579701
0.654,0.329,803,59607,0.013471572
0.797,0.189,912,35398,0.025764167
0.617,0.356,1597,81024,0.019710209
0.774,0.21,803,27067,0.029667122
0.85,0.139,453,11942,0.037933344
0.747,0.24,3714,102623,0.036190717
0.558,0.421,2023,80306,0.025191144
0.782,0.198,271,16405,0.016519354
0.708,0.28,138,12189,0.011321683
0.726,0.268,26,4458,0.005832212
0.754,0.221,776,41093,0.018883995
0.709,0.275,6879,180117,0.038191842
0.547,0.437,1602,105350,0.015206455
0.424,0.565,280,15004,0.01866169
0.88,0.107,46,3602,0.012770683
0.679,0.298,1397,18163,0.076914607
0.875,0.109,77,5942,0.0129586
0.626,0.366,1442,47316,0.030475949
0.544,0.444,6214,179316,0.034653907
0.83,0.155,1086,36598,0.029673753
0.904,0.087,99,5445,0.018181818
0.581,0.406,2343,168161,0.013933076
0.869,0.116,0,6414,0
0.693,0.284,284,9360,0.03034188
0.641,0.339,696,33552,0.02074392
0.851,0.132,949,22971,0.04131296
0.835,0.158,462,48891,0.009449592
0.752,0.233,1830,46854,0.039057498
0.734,0.251,1308,77319,0.016916929
0.638,0.349,1868,32729,0.057074765
0.585701782,0.39453118,248,60383,0.004107116
0.81,0.178,825,27469,0.030033856
0.533,0.445,6560,336506,0.019494452
0.71,0.277,885,68889,0.012846753
0.505,0.473,1016,45847,0.022160665
0.627,0.365,887,17272,0.051354794
0.78,0.197,188,9050,0.020773481
0.587,0.394,220,3440,0.063953488
0.349,0.616,142,36054,0.003938537
0.558,0.419,557,6875,0.081018182
0.659,0.324,18,5806,0.003100241
0.618,0.352,8619,251823,0.034226421
0.628,0.352,733,25646,0.028581455
0.731,0.245,123,8685,0.014162349
0.647,0.328,1134,39360,0.028810976
0.774,0.208,504,18918,0.026641294
0.6,0.39,376,8306,0.045268481
0.282,0.679,465,88249,0.005269182
0.781,0.21,441,16154,0.02729974
0.592,0.377,5385,190529,0.028263414
0.538,0.447,145,17462,0.008303745
0.408,0.578,25526,937920,0.027215541
0.549,0.433,6232,204632,0.03045467
0.652,0.327,1692,111610,0.015159932
0.534,0.452,9648,415500,0.023220217
0.585701782,0.39453118,789,127751,0.006176077
0.367,0.609,11859,674855,0.017572664
0.829,0.164,503,19014,0.026454192
0.528,0.454,2985,154948,0.019264527
0.39,0.604,737,19913,0.037010998
0.402,0.583,66064,1892004,0.034917474
0.784,0.207,878,22580,0.038883968
0.375,0.614,6707,153923,0.043573735
0.552,0.435,623,13806,0.045125308
0.468,0.514,1400,13290,0.105342363
0.836,0.137,263,11920,0.022063758
0.627,0.354,177,5039,0.035126017
0.852,0.113,34,983,0.034587996
0.761,0.205,1664,45369,0.036677026
0.445,0.535,6448,132960,0.048495788
0.717,0.257,287,12214,0.023497626
0.566,0.428,1105,34130,0.032376209
0.303,0.671,916,21583,0.04244081
0.471,0.509,349,6646,0.05251279
0.883,0.11,4,502,0.007968127
0.804,0.176,225,9680,0.023243802
0.712,0.278,1456,124736,0.011672653
0.732,0.257,163,11089,0.014699252
0.835,0.153,79,6524,0.012109135
0.758,0.23,515,12779,0.040300493
0.821,0.169,1047,14413,0.072642753
0.896,0.096,2095,57667,0.03632927
0.712,0.269,3602,127135,0.028332088
0.465,0.51,2207,65767,0.033557863
0.722,0.251,87,6968,0.012485649
0.366,0.619,2072,33121,0.062558498
0.863,0.125,553,12347,0.044788208
0.745,0.24,1016,6972,0.14572576
0.692,0.281,544,17034,0.031936128
0.672,0.304,527,41855,0.012591088
0.7,0.264,4764,110404,0.04315061
0.798,0.179,1099,37212,0.029533484
0.568,0.412,797,26381,0.030211137
0.558,0.42,2171,53638,0.040475036
0.581,0.396,1421,63013,0.022550902
0.669,0.312,2338,127682,0.018311117
0.424,0.549,6443,174589,0.036903814
0.825,0.155,170,5357,0.03173418
0.756,0.226,408,23236,0.01755896
0.959,0.039,2,602,0.003322259
0.819,0.171,418,17955,0.023280423
0.697,0.287,4381,125698,0.034853379
0.717,0.271,479,33149,0.014449908
0.742,0.237,345,6651,0.051871899
0.203,0.776,5988,316782,0.018902589
0.782,0.193,203,11323,0.017928111
0.75,0.23,306,14757,0.020735922
0.642,0.342,335,20017,0.016735775
0.708,0.28,2040,93635,0.021786725
0.842,0.138,148,3226,0.045877247
0.772,0.203,280,11200,0.025
0.798,0.166,0,52182,0
0.658,0.326,743,48486,0.015324011
0.876,0.117,78,2049,0.03806735
0.613,0.366,491,29773,0.016491452
0.8,0.188,75,8330,0.009003601
0.757,0.232,1241,26775,0.046349206
0.716,0.267,895,61546,0.014541969
0.64,0.332,373,10994,0.033927597
0.766,0.214,3754,103666,0.036212452
0.685,0.3,973,43543,0.022345727
0.903,0.09,473,18411,0.025691163
0.727,0.257,73,14345,0.005088881
0.584,0.401,12501,345995,0.03613058
0.56,0.416,7782,214231,0.036325275
0.753,0.23,153,13276,0.011524556
0.755,0.23,219,19991,0.01095493
0.57,0.41,790,24741,0.031930803
0.576,0.412,11780,568183,0.020732757
0.51,0.468,256,9220,0.027765727
0.883,0.106,25,1591,0.015713388
0.585701782,0.39453118,12812,557016,0.023001135
0.397,0.587,558,49028,0.011381252
0.687,0.297,2808.759225,17077,0.164476151
0.774,0.205,92,5755,0.015986099
0.169,0.825,55912,1455846,0.038405161
0.708,0.277,249,23067,0.010794642
0.549,0.419,1545,33697,0.045849779
0.6,0.393,553,15629,0.035382942
0.402,0.592,365,7251,0.050337884
0.53,0.446,3738,196124,0.019059371
0.35,0.624,1091,64283,0.016971828
0.347,0.645,86961,1890416,0.046000986
0.765,0.192,127,6791,0.018701222
