,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
0,1.0,1,0,1,0.0,5720,0,110.0,360.0,1.0,Urban
1,1.0,1,1,1,0.0,3076,1500,126.0,360.0,1.0,Urban
2,1.0,1,2,1,0.0,5000,1800,208.0,360.0,1.0,Urban
3,1.0,1,2,1,0.0,2340,2546,100.0,360.0,,Urban
4,1.0,0,0,0,0.0,3276,0,78.0,360.0,1.0,Urban
5,1.0,1,0,0,1.0,2165,3422,152.0,360.0,1.0,Urban
6,0.0,0,1,0,0.0,2226,0,59.0,360.0,1.0,Semiurban
7,1.0,1,2,0,0.0,3881,0,147.0,360.0,0.0,Rural
8,1.0,1,2,1,,13633,0,280.0,240.0,1.0,Urban
9,1.0,0,0,0,0.0,2400,2400,123.0,360.0,1.0,Semiurban
10,1.0,0,0,0,0.0,3091,0,90.0,360.0,1.0,Urban
11,1.0,1,1,1,,2185,1516,162.0,360.0,1.0,Semiurban
12,1.0,0,3+,1,0.0,4166,0,40.0,180.0,,Urban
13,1.0,1,2,1,,12173,0,166.0,360.0,0.0,Semiurban
14,0.0,0,0,1,0.0,4666,0,124.0,360.0,1.0,Semiurban
15,1.0,0,1,1,0.0,5667,0,131.0,360.0,1.0,Urban
16,1.0,1,2,1,0.0,4583,2916,200.0,360.0,1.0,Urban
17,1.0,1,3+,1,0.0,3786,333,126.0,360.0,1.0,Semiurban
18,1.0,1,0,1,0.0,9226,7916,300.0,360.0,1.0,Urban
19,1.0,0,0,1,0.0,1300,3470,100.0,180.0,1.0,Semiurban
20,1.0,1,1,0,0.0,1888,1620,48.0,360.0,1.0,Urban
21,0.0,0,3+,0,0.0,2083,0,28.0,180.0,1.0,Urban
22,,0,0,1,0.0,3909,0,101.0,360.0,1.0,Urban
23,0.0,0,0,0,0.0,3765,0,125.0,360.0,1.0,Urban
24,1.0,1,0,1,0.0,5400,4380,290.0,360.0,1.0,Urban
25,1.0,0,0,1,0.0,0,24000,148.0,360.0,0.0,Rural
26,1.0,1,2,1,0.0,4363,1250,140.0,360.0,,Urban
27,1.0,1,0,1,0.0,7500,3750,275.0,360.0,1.0,Urban
28,1.0,1,0,1,0.0,3772,833,57.0,360.0,,Semiurban
29,1.0,0,0,1,0.0,2942,2382,125.0,180.0,1.0,Urban
30,0.0,0,0,0,0.0,2478,0,75.0,360.0,1.0,Semiurban
31,1.0,1,2,1,0.0,6250,820,192.0,360.0,1.0,Urban
32,1.0,0,0,1,0.0,3268,1683,152.0,360.0,1.0,Semiurban
33,1.0,1,0,1,0.0,2783,2708,158.0,360.0,1.0,Urban
34,1.0,1,0,1,0.0,2740,1541,101.0,360.0,1.0,Urban
35,1.0,0,0,1,0.0,3150,0,176.0,360.0,0.0,Semiurban
36,1.0,1,2,1,,7350,4029,185.0,180.0,1.0,Urban
37,1.0,1,0,1,1.0,2267,2792,90.0,360.0,1.0,Urban
38,1.0,0,0,1,1.0,5833,0,116.0,360.0,1.0,Urban
39,1.0,0,0,1,0.0,3643,1963,138.0,360.0,1.0,Urban
